옵션 ID,옵션명,상품명,등록상품ID,카테고리,판매방식,매출(원),주문,판매량,방문자,조회,장바구니,구매전환율,아이템위너 비율(%),총 매출(원),총 판매수,총 취소 금액(원),총 취소된 상품수,즉시 취소된 상품수
91046022438,"정품 하이디라오 스파이시 훠궈 매운 찍먹 소스 땅콩양념소스, 3개, 120g",정품 하이디라오 스파이시 훠궈 매운 찍먹 소스 땅콩양념소스,15135685971,식품,판매자배송,0,0,0,0,0,0,0.00%,0,0,0,0,0,0
91476853637,"하이디라오 마라샹궈 소스 대용량 1Kg, 1개",하이디라오 마라샹궈 소스 대용량 1Kg,15258978060,식품,판매자배송,0,0,0,0,0,0,0.00%,0,0,0,0,0,0
91504150402,"하이디라오 마라샹궈 볶음요리 기본소스, 220g, 10개",하이디라오 마라샹궈 볶음요리 기본소스,15126365207,식품,판매자배송,0,0,0,0,0,0,0.00%,0,0,0,0,0,0
91881101478,"해천 해산물용 간장, 1.75L, 2개",해천 해산물용 간장,15371598851,식품,판매자배송,0,0,0,0,0,0,0.00%,0,0,0,0,0,0
92778147370,"[한정특가1+1] 미미각 마라훠궈 소스, 1개, 500g",[한정특가1+1] 미미각 마라훠궈 소스,15598731302,식품,판매자배송,13790,1,1,3,8,1,12.50%,85.7000000000000028421709430404007434844970703125,13790,1,0,0,0
92778147391,"[한정특가1+1] 미미각 마라훠궈 소스, 3개, 500g",[한정특가1+1] 미미각 마라훠궈 소스,15598731302,식품,판매자배송,0,0,0,2,2,0,0.00%,0,0,0,0,0,0
92932476389,"미미각 모모 자른 푸주 건푸주, 3개, 500g",미미각 모모 자른 푸주 건푸주,15630746657,식품,판매자배송,0,0,0,2,2,0,0.00%,0,0,0,0,0,0
92932476414,"미미각 모모 자른 푸주 건푸주, 5개, 500g",미미각 모모 자른 푸주 건푸주,15630746657,식품,판매자배송,21600,1,1,6,12,0,8.33%,100,21600,1,0,0,0
92974898203,"옛날 넓은 고구마 당면 중국식 훠궈 당면, 300g, 2개",옛날 넓은 고구마 당면 중국식 훠궈 당면,15639171490,식품,판매자배송,43200,4,4,142,176,18,2.27%,100,43200,4,0,0,0
92974898226,"옛날 넓은 고구마 당면 중국식 훠궈 당면, 3개, 300g",옛날 넓은 고구마 당면 중국식 훠궈 당면,15639171490,식품,판매자배송,26040,2,2,13,15,3,13.33%,95.7000000000000028421709430404007434844970703125,26040,2,0,0,0
92976180413,"쏸라펀 중국 마라누들 컵라면, 6개",쏸라펀 중국 마라누들 컵라면,15639512076,식품,판매자배송,137400,10,10,225,277,20,3.61%,100,137400,10,0,0,0
92976180433,"쏸라펀 중국 마라누들 컵라면, 10개",쏸라펀 중국 마라누들 컵라면,15639512076,식품,판매자배송,22060,1,1,28,28,1,3.57%,100,22060,1,0,0,0
92976507062,"푸단테 자른 푸주 건유바 업소용 대용량, 3개, 1kg",푸단테 자른 푸주 건유바 업소용 대용량,15630746657,식품,판매자배송,28480,1,1,3,5,0,20.00%,100,28480,1,0,0,0
92976507074,"푸단테 자른 푸주 건유바 업소용 대용량, 6개, 1kg",푸단테 자른 푸주 건유바 업소용 대용량,15630746657,식품,판매자배송,95920,2,2,5,5,0,40.00%,100,143880,3,-47960,-1,-1
